.bradesco: whois.nic.bradesco
.cash: whois.nic.cash
.bestbuy: whois.nic.bestbuy
.bnpparibas: whois.afilias-srs.net
.bar: whois.nic.bar
.barcelona: whois.nic.barcelona
.bg: whois.register.bg
.bridgestone: whois.nic.bridgestone
.casino: whois.nic.casino
.box: whois.nic.box
.bzh: whois.nic.bzh
.commbank: whois.nic.commbank
.broker: whois.nic.broker
.bo: whois.nic.bo
.cat: whois.nic.cat
.ca: whois.cira.ca
.charity: whois.nic.charity
.barclaycard: whois.nic.barclaycard
.catholic: whois.nic.catholic
.cab: whois.nic.cab
.community: whois.nic.community
.cba: whois.nic.cba
.chintai: whois.nic.chintai
.company: whois.nic.company
.dealer: whois.nic.dealer
.bargains: whois.nic.bargains
.call: whois.nic.call
.bible: whois.nic.bible
.degree: whois.nic.degree
.computer: whois.nic.computer
.cbs: whois.afilias-srs.net
.bayern: whois.nic.bayern
.basketball: whois.nic.basketball
.camp: whois.nic.camp
.adult: whois.registrar.adult
.cc: ccwhois.verisign-grs.com
.fido: whois.afilias-srs.net
.furniture: whois.nic.furniture
.eat: whois.nic.google
.film: whois.nic.film
.center: whois.nic.center
.cf: whois.dot.cf
.desi: whois.nic.desi
.finance: whois.nic.finance
.circle: whois.nic.circle
.design: whois.nic.design
.dentist: whois.nic.dentist
.cern: whois.afilias-srs.net
.cooking: whois.nic.cooking
.dental: whois.nic.dental
.capital: whois.nic.capital
.deloitte: whois.nic.deloitte
.church: whois.nic.church
.dvr: whois.nic.dvr
.cancerresearch: whois.nic.cancerresearch
.construction: whois.nic.construction
.ci: whois.nic.ci
.delta: whois.nic.delta
.canon: whois.nic.canon
.capetown: capetown-whois.registry.net.za
.cipriani: whois.afilias-srs.net
.consulting: whois.nic.consulting
.smile: whois.nic.smile
.de: whois.denic.de
.financial: whois.nic.financial
.edeka: whois.afilias-srs.net
.ski: whois.afilias.net
.faith: whois.nic.faith
.diamonds: whois.nic.diamonds
.tr: whois.nic.tr
.singles: whois.nic.singles
.edu: whois.educause.edu
.kitchen: whois.nic.kitchen
.digital: whois.nic.digital
.ch: whois.nic.ch
.tours: whois.nic.tours
.mtr: whois.nic.mtr
.cl: whois.nic.cl
.education: whois.nic.education
.dds: whois.nic.dds
.fishing: whois.nic.fishing
.country: whois.uniregistry.net
.claims: whois.nic.claims
.fitness: whois.nic.fitness
.directory: whois.nic.directory
.click: whois.uniregistry.net
.discount: whois.nic.discount
.moi: whois.nic.moi
.gripe: whois.nic.gripe
.sky: whois.nic.sky
.game: whois.uniregistry.net
.xihuan: whois.teleinfo.cn
.infiniti: whois.nic.gmo
.versicherung: whois.nic.versicherung
.clinic: whois.nic.clinic
.re: whois.nic.re
.clothing: whois.nic.clothing
.id: whois.id
.clinique: whois.nic.clinique
.hockey: whois.nic.hockey
.energy: whois.nic.energy
.fan: whois.nic.fan
‏.مليسيا‎: whois.mynic.my
.games: whois.nic.games
.credit: whois.nic.credit
.engineer: whois.nic.engineer
.group: whois.nic.group
.gs: whois.nic.gs
.cloud: whois.nic.cloud
.срб: whois.rnids.rs
.florist: whois.nic.florist
.engineering: whois.nic.engineering
.dm: whois.nic.dm
.garden: whois.nic.garden
.honda: whois.nic.honda
‏.קום‎: whois.nic.xn--9dbq2a
.ott: whois.nic.ott
.sony: whois.nic.sony
.club: whois.nic.club
.stc: whois.nic.stc
.企业: whois.nic.xn--vhquv
.ਭਾਰਤ: whois.registry.in
.cn: whois.cnnic.cn
.lu: whois.dns.lu
.sa: whois.nic.net.sa
.gbiz: whois.nic.google
.do: whois.nic.do
.docs: whois.nic.google
.epson: whois.nic.epson
.stada: whois.afilias-srs.net
.dnp: whois.nic.dnp
.рус: whois.nic.xn--p1acf
.慈善: whois.gtld.knet.cn
.fans: whois.nic.fans
.space: whois.nic.space
.삼성: whois.kr
.kosher: whois.nic.kosher
.嘉里大酒店: whois.nic.xn--w4r85el8fhu5dnra
.닷컴: whois.nic.xn--mk1bu44c
.co: whois.nic.co
.doctor: whois.nic.doctor
.metlife: whois.nic.metlife
.mq: whois.mediaserv.net
.在线: whois.teleinfo.cn
.gdn: whois.nic.gdn
.flowers: whois.uniregistry.net
.netbank: whois.nic.netbank
